u_id,sample,grade36,grade30,percent_attention,percent36,percent30,mean_confidence,mean_confidence_right,mean_confidence_wrong,kapr,page_1_kapr,page_2_kapr,page_3_kapr,page_4_kapr,page_5_kapr,page_6_kapr,mode
2001,1,31,25,1,86.11111111111111,83.33333333333334,2.0833333333333335,2.161290322580645,1.6,12.430773406115204,2.569027917148128,2.0843992268624603,2.106844362176319,3.4772690568475486,1.0349009745939561,1.1583318684867923,NA
2002,2,31,26,0.8333333333333334,86.11111111111111,86.66666666666667,2.4166666666666665,2.4193548387096775,2.4,9.430334419620012,1.6686227089187613,0.5040914544761825,1.0810957379584827,1.1486322792441297,2.1515980385465676,2.876294200475888,NA
2003,3,30,24,1,83.33333333333334,80,2.4444444444444446,2.466666666666667,2.3333333333333335,22.831022883388595,1.4117994460736396,2.4774974169466555,6.047130671189821,3.707455754815438,5.11500601008858,4.072133584274461,NA
2004,4,30,25,0.8333333333333334,83.33333333333334,83.33333333333334,2.0277777777777777,2.066666666666667,1.8333333333333333,45.68203845247439,1.2211288478806155,30.46748406349048,5.50686904453319,3.0626783643565005,3.6918171851585484,1.7320609470550536,NA
2005,5,21,16,0.8333333333333334,58.333333333333336,53.333333333333336,2.638888888888889,2.761904761904762,2.466666666666667,1.063925869033396,1.063925869033396,0,0,0,0,0,NA
2006,6,32,26,1,88.88888888888889,86.66666666666667,1.9722222222222223,2.0625,1.25,19.781303329868923,1.2872805071080935,3.52357261896649,5.806362245908845,4.156590000338065,2.743758637721484,2.2637393198259446,NA
3001,1,30,24,1,83.33333333333334,80,2.2222222222222223,2.3666666666666667,1.5,0.6689133986928099,0,0,0,0.6689133986928099,0,0,NA
3002,2,30,24,1,83.33333333333334,80,2.2222222222222223,2.2666666666666666,2,0.5796907183203637,2.0089518896201474e-4,0.21332541190319845,0.2668309196609579,4.3796319232008996e-4,4.607106000292238e-4,0.09843481777489599,NA
3003,3,25,20,0.8333333333333334,69.44444444444444,66.66666666666666,2.2222222222222223,2.36,1.9090909090909092,0.9531164896514164,0,0,0.9259259259259258,0.027190563725490557,0,0,NA
3004,4,32,26,1,88.88888888888889,86.66666666666667,2.5555555555555554,2.625,2,10.881369872723203,0.32952698613945547,3.3198101018441517,1.3106838837685606,1.8801991206225077,1.7714264165398994,2.2697233638086285,NA
3007,7,33,27,1,91.66666666666666,90,2.5,2.5454545454545454,2,13.52927361392291,0.943754842139962,5.168452634801071,1.9962964516316717,2.9174542100567713,1.4320707719830512,1.0712447033103842,NA
3008,8,34,28,1,94.44444444444444,93.33333333333333,2.0277777777777777,2.088235294117647,1,14.465027148123577,0.878117983038256,2.544474580913149,2.776506110971688,2.199327855690729,2.2357436673048507,3.830856950204904,NA
3009,9,32,26,1,88.88888888888889,86.66666666666667,2.4444444444444446,2.53125,1.75,8.98140599386731,1.105286495911497,0.5223691364995715,3.059484115779388,1.9759295005691628,1.1728938460567102,1.1454428990509813,NA
3010,0,24,18,1,66.66666666666666,60,2.0833333333333335,2.25,1.75,6.480764980047946,1.2519983097100031,0.42087542087542107,1.471734892787525,0.7991217320261437,0.7161844003949263,1.8208502242539266,NA
3011,1,33,27,1,91.66666666666666,90,2.7777777777777777,2.878787878787879,1.6666666666666667,14.73796310505546,2.165565659533289,1.2089124093284305,3.6072590844477674,2.393470227238181,2.638762869404127,2.723992855103665,NA
4001,1,25,19,1,69.44444444444444,63.33333333333333,1.9444444444444444,2.2,1.3636363636363635,5.46700365572946,0,1.0824681514019756,2.248197877766592,1.9901387961515358,0.14619883040935644,0,NA
4002,2,23,17,1,63.888888888888886,56.666666666666664,2.5833333333333335,2.739130434782609,2.3076923076923075,3.3680839669599414,0,0,1.2675678345810648,0.15432098765432123,1.1904761904761902,0.7557189542483651,NA
4003,3,25,19,1,69.44444444444444,63.33333333333333,2.6666666666666665,2.76,2.4545454545454546,4.660922877939415,1.3479873621002658,1.3086696680446683,1.2454949773790354,0.03714843826669734,0.7216224321487479,0,NA
4004,4,18,14,0.6666666666666666,50,46.666666666666664,1.6388888888888888,1.8333333333333333,1.4444444444444444,5.143894235255328,2.9041767169830894,2.229891798128514,0,0,0,0.0098257201437244035,NA
4005,5,31,25,1,88.57142857142857,86.20689655172413,1.6285714285714286,1.6774193548387097,1.25,4.263680449165424,0.22547293226868023,0.5642361111111109,1.4427421013930393,1.3216845878136207,0.3094003094003095,0.4001444071786633,NA
4006,6,33,27,1,91.66666666666666,90,2.4444444444444446,2.5454545454545454,1.3333333333333333,2.2762870981049237,0.3212407499164338,0.4214932565412013,0.32066624141171185,0.6502287961855033,0.4728435649488285,0.0898144891012449,NA
4007,7,31,25,1,86.11111111111111,83.33333333333334,2.4444444444444446,2.4838709677419355,2.2,4.1442654634621805,0.5344742063492058,0.45469576719576743,2.1197532417551272,0.6293226702317467,0,0.40601957793033305,NA
4008,8,31,25,1,86.11111111111111,83.33333333333334,2.611111111111111,2.6774193548387095,2.2,3.1300381867259413,0.9864859237048149,0.8877806982536454,0.15451351221040976,0.6517556517556518,0.2568843193843193,0.19261808141710013,NA
4009,9,33,27,1,91.66666666666666,90,2.3333333333333335,2.393939393939394,1.6666666666666667,4.749444150184125,2.036473364598364,1.0962213168095518,1.6167494687762094,0,0,0,NA
4010,0,26,20,1,72.22222222222221,66.66666666666666,2.638888888888889,2.8846153846153846,2,5.7903223844030975,0.45714354806547775,2.128203792371105,1.5142321600465207,0.7505412451621787,0.4112940993745937,0.5289075393832219,NA
4011,1,26,20,1,72.22222222222221,66.66666666666666,2.25,2.3846153846153846,1.9,5.396686516089978,1.2368629093824137,1.09626634080001,2.6959530415627766,0.36760422434477746,0,0,NA
4012,2,28,23,1,80,76.66666666666667,2.2857142857142856,2.4285714285714284,1.7142857142857142,5.919725962035635,0.8271332999696273,0.7290505395234872,3.6542063173508974,0.5963071144637206,0.1128276108926265,2.010798352758414e-4,NA
